Date,Latitude,Longitude,Time1,Time2,Time3
03/07/2023,67.13232,-132.31296,19:24,21:06,22:42
04/07/2023,67.14809,-132.37506,19:06,20:42,22:30
06/07/2023,67.18559,-132.734,20:06,21:48,
07/07/2023,61.8822,-134.51839,19:48,21:30,
08/07/2023,61.93519,-134.55222,21:12,22:48,
10/07/2023,67.17458,-135.63857,18:54,20:30,22:12
23/07/2023,63.02738,-133.96091,19:48,21:30,23:12
28/07/2023,68.50966,-133.13281,19:54,21:36,
28/07/2023,68.09404,-132.35022,19:54,21:36,
28/07/2023,67.1656,-132.158,19:54,21:36,
29/07/2023,67.96674,-138.62898,19:36,21:18,23:00
29/07/2023,68.06213,-138.44464,19:36,21:18,23:00
29/07/2023,68.4978,-132.12894,19:36,21:18,23:00
29/07/2023,68.07137,-132.36356,19:36,21:18,23:00
29/07/2023,68.35326,-130.69426,19:36,21:18,23:00
29/07/2023,66.16433,-130.39938,19:36,21:18,23:00
30/07/2023,68.5004,-133.16692,19:18,21:00,22:36
30/07/2023,68.07874,-132.37576,19:18,21:00,22:36
30/07/2023,67.59908,-130.6405,19:18,21:00,22:36
30/07/2023,68.33493,-130.69722,19:18,21:00,22:36
30/07/2023,66.16982,-130.42538,19:18,21:00,22:36
31/07/2023,66.16904,-130.50047,19:00,20:36,22:18
31/07/2023,66.02834,-135.67049,19:00,20:36,22:18
01/08/2023,66.1651,-130.50478,18:42,20:24,22:00
05/08/2023,67.9256,-138.6868,19:06,20:48,22:24
05/08/2023,68.55339,-133.33165,19:06,20:48,22:24
05/08/2023,68.05423,-132.27965,19:06,20:48,22:24
05/08/2023,67.1598,-132.2423,19:06,20:48,22:24
06/08/2023,63.82268,-137.79288,20:24,22:06,
06/08/2023,68.56974,-133.26862,20:24,22:06,
06/08/2023,68.12888,-132.35858,20:24,22:06,
28/08/2023,61.84369,-135.14085,20:12,21:54,
01/06/2023,60.02762,-120.89243,19:24,21:00,
03/07/2023,64.9464,-125.23925,19:24,20:54,
04/07/2023,65.47026,-126.79797,19:06,20:42,22:24
04/07/2023,64.91013,-125.26817,19:06,20:42,22:24
08/07/2023,64.81408,-125.27345,19:30,21:12,
15/07/2023,64.06416,-121.42014,19:00,20:36,22:18
01/08/2023,65.64861,-129.51141,22:00,,
01/06/2023,60.37257,-118.63757,21:00,,
03/07/2023,65.31197,-116.30269,19:24,17:42,21:00
03/07/2023,62.94025,-115.10486,19:24,17:42,21:00
08/07/2023,65.2867,-116.35909,19:30,21:06,
12/07/2023,65.38461,-116.32687,19:54,21:36,
12/07/2023,64.20688,-113.7813,18:18,19:54,21:36
12/07/2023,64.01212,-113.32796,18:12,19:54,21:36
12/07/2023,63.0906,-112.08042,18:12,19:54,21:36
12/07/2023,60.833,-111.84747,18:12,19:54,21:36
13/07/2023,65.40436,-116.38426,17:54,19:36,21:18
13/07/2023,63.96564,-113.30908,17:54,19:36,21:18
13/07/2023,64.18261,-113.69214,17:54,19:36,21:18
13/07/2023,63.03715,-112.16839,17:54,19:36,21:18
13/07/2023,60.42066,-113.87275,17:54,19:36,21:18
14/07/2023,65.40307,-116.32812,17:36,19:18,20:54
14/07/2023,64.18979,-113.8585,17:36,19:18,20:54
14/07/2023,63.96162,-113.37112,17:36,19:18,20:54
15/07/2023,64.75428,-119.72952,17:18,19:00,20:36
15/07/2023,65.3741,-116.31887,17:18,19:00,20:36
16/07/2023,65.41302,-116.41754,18:36,20:18,22:00
16/07/2023,64.79664,-119.75365,18:36,20:18,22:00
22/07/2023,61.39135,-110.37544,18:24,20:06,
22/07/2023,61.21487,-111.27566,18:24,20:06,
22/07/2023,60.60615,-111.59473,18:24,20:06,
22/07/2023,60.30433,-111.82582,18:24,20:06,
06/08/2023,64.71929,-118.85742,18:42,20:24,22:06
06/08/2023,64.41589,-118.94382,18:42,20:24,22:06
07/08/2023,62.17105,-113.46866,18:24,20:06,21:48
07/08/2023,63.6637,-116.03242,18:24,20:06,21:48
08/08/2023,60.73298,-117.06342,18:06,19:48,21:24
08/08/2023,62.55748,-115.11624,19:48,21:30,
08/08/2023,62.14022,-113.54664,18:06,19:48,21:30
13/08/2023,60.96839,-119.93645,19:54,21:36,
13/08/2023,60.7881,-117.09548,19:54,21:36,
